datetime,title,house_type,price,acreage,district,city,bedrooms,wc,house_direction,balcony_direction,description
2023-06-01 16:26:56,0988546953,Nhà riêng,4.0,53,Quận 12,TP Hồ Chí Minh,2,3,,,"""Mô tả:
+ Hẻm xe tải tới cửa nhà, ngay gần nhà hàng Hai Châu...
+ Nhà BTCT, 2 tầng, 2PN, 2WC. Nhà móng rất chắc có thể lên lầu. Nhà đang cho 
thuê 6 triệu/tháng...
+ Pháp lý sạch, công chứng ngay, sổ vuông vức, không lỗi phong thủy."""
2023-06-01 16:35:36,"Bán nhà PHAN VĂN HỚN , Quận 12, 64m, xe tải, giá chỉ  nhỉnh 4 tỷ.",Nhà riêng,4.0,64,Quận 12,TP Hồ Chí Minh,3,3,,,"Bán nhà PHAN VĂN HỚN , Quận 12, 64m, xe tải, giá chỉ nhỉnh 4 tỷ.
+ Diện tích 64m, ngang 4x16, sổ đỏ chính chủ.
+ Nhà 1treet 2 lầu 3 phòng 3w
+ Nhà thuộc khu trung tâm Quận 12, giáp Hóc Môn, cách hơn 50m ra măt tiền lớn.
+ Hẻm xe tải đỗ cửa, khu vực dân trí cao, an ninh tốt.
+ Giá chào 4,7 tỷ (trước khách trả 5,8 tỷ nhưng không bán, giờ cần bán gấp và có thương lượng cho khách thiện trí)
Cam kết, dẫn khách đi xem nhà, tư vấn hỗ trợ khách mua được nhà mà không phải trả bất kỳ 1 khoản phí nào.
Với kho hàng nhà phố Hồ Chí Minh gần 20.000 phân khúc đa dạng, phong phú, được chủ nhà tin tưởng gửi bán, chúng tôi sẽ đáp ứng mọi nhu cầu của khách.
Giúp khách hàng mua được nhà ưng ý là hạnh phúc và trách nhiệm của Tôi.

Liên hệ TUYẾT SƯƠNG 0966764836"
2023-06-01 16:45:20,"Bán nhà TTN5, Quận 12, 60m, Chỉ nhỉnh 3,5 tỷ.",Nhà riêng,4.0,60,Quận 12,TP Hồ Chí Minh,2,2,,,"Bán nhà TTN5, Quận 12, 60m, xe tải, giá chỉ nhỉnh 4 tỷ.
+ Diện tích 60m, ngang4x15m, sổ đỏ chính chủ.
+ Nhà trêt ,lầu 2 phòng 2wc.
+ Nhà thuộc khu trung tâm Quận 12, giáp Hóc Môn, cách hơn 50m ra đường lớn.
+ Hẻm xehơi đỗ cửa, khu vực dân trí cao, an ninh tốt.
+ Giá chào 3,8 tỷ (trước khách trả 5,8 tỷ nhưng không bán, giờ cần bán gấp và có thương lượng cho khách thiện trí)
Cam kết, dẫn khách đi xem nhà, tư vấn hỗ trợ khách mua được nhà mà không phải trả bất kỳ 1 khoản phí nào.
Với kho hàng nhà phố Hồ Chí Minh gần 20.000 phân khúc đa dạng, phong phú, được chủ nhà tin tưởng gửi bán, chúng tôi sẽ đáp ứng mọi nhu cầu của quý khách.
Giúp khách hàng mua được nhà ưng ý là hạnh phúc và trách nhiệm của Tôi.
Liên hệ TUYẾT SƯƠNG 0966764836"
2023-06-01 16:57:08,Bán nhà 213 Thiên Lôi Chợ Đôn Ô tô Xe máy Đỗ vài chục chiếc Ngõ Rộng Kinh doanh buôn bán tuyệt vời,Nhà riêng,,,Lê Chân,Hải Phòng,,,,,"Bán nhà 213 Thiên Lôi Chợ Đôn Ô tô Xe máy Đỗ vài chục chiếc Ngõ Rộng Kinh doanh buôn bán tuyệt vời

- DT 42m2 * 3.5 tầng, tầng 1 thông sàn
- Hướng: Tây Bắc
- MT: 4m
- Nhà 2 mặt ngõ, ngõ trước nhà 5m, ngõ cạnh nhà 8m
- Nhà gồm 3 PN, 2VS, phòng bếp, tầng lửng, sân phơi, phòng thờ, phòng khách
- Tặng Nội thất: Tivi, bộ Sofa, bộ bàn ăn Sang trọng, hiện đại
- Giá: 3.2 tỷ (gia lộc)

- Liên hệ: Mr. Long 082.759.0856"
2023-06-01 18:36:48,"GÓC 2 MẶT TIỀN LẠC LONG QUÂN, Q11, NGAY ĐẦM SEN, HXH 65M2, CHỈ NHỈNH 4 TỶ.",Nhà mặt phố,4.8,65,Quận 11,TP Hồ Chí Minh,,,,,"Mô tả:

Nhà cấp 4 ngang 3.7x18m, diện tích công nhận đủ, nhà góc 2 mặt tiền thuận tiện ở hoặc kinh doanh online.

+ Vị trí nằm giao với đường Âu Cơ, Trình Định Trọng, Nhà thờ Giáo xứ Phú Bình.

+ Nhà chính chủ xưa nay chưa qua mua bán.

+ Chủ rất hợp tác, thương lượng tốt.

Cần thông tin thêm liên hệ: 0354095924"
2023-06-01 18:54:38,"Bán nhà Đa Sỹ, Hà Đông giao thông thuận tiện 36m, 4 tầng, 4 ngủ giá chỉ 2,7 tỷ 0962780005",Nhà riêng,2.7,36,Hà Đông,Hà Nội,,,,,"Bán nhà Đa Sỹ, Hà Đông giao thông thuận tiện 36m, 4 tầng, 4 ngủ giá chỉ 2,7 tỷ 0962780005

- Nhà thiết kế lệch tầng, năm 2018, khách mua về thêm thùng sơn là như mới.
 - Thiết kế:
+ Tầng 1: Để xe, phòng khách, bếp, wc.
+ Tầng 2,3: Mỗi tầng 2 phòng, wc.
+ Tầng 4: Tum, 2 sân phơi trước sau, có thể chuyển đổi làm phòng thờ.
+ Sổ đỏ phân lô đẹp nét căng sẵn sàng giao dịch.
  - Liên hệ xem nhà trực tiếp 0962780005"
2023-06-01 19:16:26,Phú Thọ Hoà. Tân Phú. Sổ vuông vức. Hoàn công đủ. Nhỉnh 4 Tỷ.,Nhà riêng,4.1,38,Tân Phú,TP Hồ Chí Minh,2,,,,"+ Diện tích 38m2 Hiện trạng 1 trệt 1 lầu tổng 2PN 2WC, phòng bếp và phòng khách riêng biệt, ban công thoáng mát.
+ Hẻm trước nhà 3m thông thoáng sạch sẽ, vị trí lô góc nhưng nói không với lộ giới, ra Lũy Bán Bích, Thoại Ngọc Hầu, UBND Quận cực kỳ gần. 
+ Sổ vuông vắn, hoàn công đủ, chủ nhà thiện chí bán."
2023-06-01 21:05:41,"Bán nhà phố an ninh tốt, tiện giao thông Cầu Đơ, Hà Cầu, Hà Đông 35m, 4 tầng, chỉ 3,4 tỷ 0962780005",Nhà riêng,3.4,35,Hà Đông,Hà Nội,,,,,"Bán nhà phố an ninh tốt, tiện giao thông Cầu Đơ, Hà Cầu, Hà Đông 35m, 4 tầng, chỉ 3,4 tỷ 0962780005

+ Nhà nằm trong khu Cầu Đơ 4 rất gần phố Lê Hồng Phong, phố Quang Trung.
+ Khu vực rất gần trường, gần chợ, gần bệnh viện … an ninh tốt dân trí cao.
+ Thiết kế gồm 4 tầng, 4 phòng ngủ, khách, sân vuờn
+ Liên hệ xem nhà trực tiếp 0962780005"
2023-06-01 21:09:36,"Bán đất phân lô, ô tô tránh, kinh doanh khu đấu giá Man Bồi Gốc Găng - Hà  Đông 51m, giá chỉ 4,95 tỷ 0962780005",Nhà riêng,4.95,51,Hà Đông,Hà Nội,,,,,"Bán đất phân lô, ô tô tránh, kinh doanh khu đấu giá Man Bồi Gốc Găng - Hà  Đông 51m, giá chỉ 4,95 tỷ 0962780005

- Khu đấu giá này nổi tiếng Hà Đông, giao thông thụân tiện
- Chủ rất hợp tác, thiện chí bán.
- Liên hệ xem nhà trực tiếp 0962780005"
2023-06-01 21:11:37,"Bán nhà ô tô tránh, kinh doanh Vạn Phúc,  Hà Đông 35m, 4 tầng, giá chỉ 6,65 tỷ. 0962780005",Nhà riêng,6.65,35,Hà Đông,Hà Nội,,,,,"Bán nhà ô tô tránh, kinh doanh Vạn Phúc,  Hà Đông 35m, 4 tầng, giá chỉ 6,65 tỷ. 0962780005

 - Nhà diện tích từ tầng 2 đua thành 45m.
 - Vị trí Lô Góc cực đẹp, Phố Vạn Phúc vào 10m, trước nhà 2 ô tô 7 chỗ tránh nhau, View là Khu Nhà Liền Kề Cao Cấp, Ngõ thông đi tứ tung.
 - Nhà 4 tầng khung cột chắc chắn, có thể lên thêm tầng. 
+ T1: Kinh doanh + bếp + wc.
+ T2,3: Tổng 4pn + 2wc.
+ T4: Để máy giặt + sân chơi."
2023-06-01 21:12:31,"Bán nhà ô tô đỗ, kinh doanh Lê Lợi, Hà Đông 49m, 4 tầng, ngủ 4, giá chỉ 5,8 tỷ. LH 0962780005",Nhà riêng,5.8,49,Hà Đông,Hà Nội,,,,,"Bán nhà ô tô đỗ, kinh doanh Lê Lợi, Hà Đông 49m, 4 tầng, ngủ 4, giá chỉ 5,8 tỷ. LH 0962780005

+ Nhà 4 tầng 4 ngủ khép kín, thiết kế lệch tầng, xây dựng năm 2015, chủ mới thêm vài nước sơn là đẹp long lanh.
+ Nhà 2 ngõ  thông ngõ 12 và 14 ra phố Lê Lợi, Lê Hồng Phong, Lê Lai khu dịch vụ Hà Cầu, gần chợ Hà Đông, trường chuyên Lê Lợi... 
+ Sổ đỏ nở hậu, sẵn sàng GIAO DỊCH
+ Liên hệ xem nhà trực tiếp 0962780005"
2023-06-01 21:15:36,"Bán nhà Trần Phú, Hà Đông 57m, 7 tầng, 17 phòng full đồ, giá chỉ 9,1 tỷ . LH 0962780005",Nhà riêng,9.1,57,Hà Đông,Hà Nội,,,,,"Bán nhà Trần Phú, Hà Đông 57m, 7 tầng, 17 phòng full đồ, giá chỉ 9,1 tỷ . LH 0962780005

- Toà Chung cư mini 7 tầng mỗi tầng 3 phòng đang chờ thuê full, với tổng 17 phòng khép kín nội thất cơ bản, cho thuê khoảng trên 45tr/ tháng.
- Vị trí siêu đẹp , thoáng, ô tô đỗ cửa, view trường ĐH SP Nhạc Hoạ TW, là nơi hội tụ rất nhiều sinh viên các trường ĐH nên như cầu thuê phòng rất cao.
- Thiết Kế. Nhà thiết 7 tầng, 2 cầu thang riêng biệt.
 + Liên hệ xem nhà trực tiếp 0962780005"
2023-06-01 21:16:35,"Bán nhà Tô Hiệu, Hà Đông ô tô lùi cửa 38m, 5 tầng giá chỉ 5,3 tỷ.  LH 0962780005",Nhà riêng,5.3,38,Hà Đông,Hà Nội,,,,,"Bán nhà Tô Hiệu, Hà Đông ô tô lùi cửa 38m, 5 tầng giá chỉ 5,3 tỷ.  LH 0962780005

+ Nhà bán nằm cách mặt phố Tô Hiệu  20m, lưu thông rất thuận lợi. Cách ô tô dừng đỗ ngày đêm 10m, trước nhà ô tô Ki-a lùi cửa, rộng 3M, ngõ thông 2 thoáng tiện ích bãi gửi xe dưới chân Chung cư Tô Hiệu.
+ Khu vực đầy đủ tiện ích, nhà gần phố, gần CHỢ HÀ ĐÔNG, SÂN BÓNG, hạ tầng văn minh, khu vực đông đúc, dân trí cao.

+ Nhà xây 5 tầng BTCT chịu lực, 4 phòng ngủ.
+ Liên hệ xem nhà trực tiếp 0962780005"
2023-06-01 21:17:36,"Bán nhà Quang Trung, Hà Đông 93m, 4 tầng, giá chỉ 7,85 tỷ. LH 0962780005",Nhà riêng,7.85,93,Hà Đông,Hà Nội,,,,,"Bán nhà Quang Trung, Hà Đông 93m, 4 tầng, giá chỉ 7,85 tỷ. LH 0962780005

+ Vị trí nhà cực đẹp, ngõ trước nhà ô tô lùi tận cửa, thông tứ tung ra Lê Trọng Tấn. Cách 50m ra ô tô đỗ ngày đêm. Đi bộ ra đường Quang Trung, gần trường Nguyễn Huệ. Nhà cũ chủ đang cho thuê. Chủ xác định bán đất tặng nhà 3 tầng vẫn ở ngon.

- Phù hợp đầu tư giữ tiền, hoặc xây căn CCMN thang máy quá tuyệt vời.
- Sổ đỏ chính chủ cất két.
 - Liên hệ xem nhà trực tiếp 0962780005"
2023-06-01 21:18:46,"Bán nhà Hà Trì, Hà Đông ô tô qua cổng 30m, 3 tầng giá chỉ 2,75 tỷ. LH 0962780005  - Khu vực Hà Trì dân cư đông đúc, văn minh. Nhà chỉ cách chợ Hà Đông 300m nên cực kỳ nhiều khách có nhu cầu tìm nhà mua ở.  - Nhà hiện trạng 3 tầng ở tạm Tầng 1 gồm phòng kh",Nhà riêng,2.75,30,Hà Đông,Hà Nội,,,,,"Bán nhà Hà Trì, Hà Đông ô tô qua cổng 30m, 3 tầng giá chỉ 2,75 tỷ. LH 0962780005

- Khu vực Hà Trì dân cư đông đúc, văn minh. Nhà chỉ cách chợ Hà Đông 300m nên cực kỳ nhiều khách có nhu cầu tìm nhà mua ở. 
- Nhà hiện trạng 3 tầng ở tạm
Tầng 1 gồm phòng khách + bếp + WC
Tầng 2+3 là 2 phòng ngủ
- Sổ đỏ đẹp , sẵn sàng giao dịch luôn
+ Liên hệ xem nhà trực tiếp 0962780005"
2023-06-01 21:18:46,"Bán nhà Hà Trì, Hà Đông ô tô qua cổng 30m, 3 tầng giá chỉ 2,75 tỷ. LH 0962780005  - Khu vực Hà Trì dân cư đông đúc, văn minh. Nhà chỉ cách chợ Hà Đông 300m nên cực kỳ nhiều khách có nhu cầu tìm nhà mua ở.  - Nhà hiện trạng 3 tầng ở tạm Tầng 1 gồm phòng kh",Nhà riêng,2.75,30,Hà Đông,Hà Nội,,,,,"Bán nhà Hà Trì, Hà Đông ô tô qua cổng 30m, 3 tầng giá chỉ 2,75 tỷ. LH 0962780005

- Khu vực Hà Trì dân cư đông đúc, văn minh. Nhà chỉ cách chợ Hà Đông 300m nên cực kỳ nhiều khách có nhu cầu tìm nhà mua ở. 
- Nhà hiện trạng 3 tầng ở tạm
Tầng 1 gồm phòng khách + bếp + WC
Tầng 2+3 là 2 phòng ngủ
- Sổ đỏ đẹp , sẵn sàng giao dịch luôn
+ Liên hệ xem nhà trực tiếp 0962780005"
2023-06-01 21:24:05,"Bán nhà Thiên Hiền, Nam Từ Liêm, nhà siêu đẹp như biệt thự, 65m2, 7.3 tỷ",Nhà riêng,7.3,65,Nam Từ Liêm,Hà Nội,,,,,"???? Nhà chủ tự xây cực kỳ đẹp và tâm huyết theo phong cách biệt thự nhỏ. Vào nhà toàn đồ xịn từ nội thất. 
???? T1: phòng khách, gian thờ, bếp, WC 
T2: 1 phòng karaoke, 1 ngủ rộng, WC 
T3: 3 phòng ngủ, có thể thiết kế lại thành 2 phòng dễ dàng 
T4: 1 ngủ rộng, ban công cực rộng 
T5: sân phơi đã bắn full mái tôn 
???? Vị trí rất đẹp, ngõ ô tô sát cửa rộng sạch đẹp. Cách bãi gửi xe ngày đêm 30m, đi bộ vài chục mét ra mặt đường Phạm Hùng, Thiên Hiền, Đình Thôn. Dự án quy hoạch đầu đường Đình Thôn đang triển khai, tương lai 2023 rạng ngời, giá trị gia tăng cực tốt.
LH: 0389981756"
2023-06-01 21:26:31,"Bán nhà Phú Mỹ, Lê Đức Thọ, kinh doanh sầm uất, 30m2, 6.8 tỷ",Nhà riêng,,,Nam Từ Liêm,Hà Nội,,,,,"+ Khu vực cực kỳ đông dân cư, buôn bán luôn sầm uất nhộn nhịp ngày, đêm. 
+ Đường trước nhà ô tô tránh nhau, kinh doanh mọi loại hình, xe máy để thoải mái đối diện trước cửa nhà. 
+ Công năng chuẩn, vừa ở vừa kinh doanh. Phân khúc siêu hiếm. 
+ Thiết kế nhà thông sàn mỗi tầng một phòng cầu thang cuối, tổng ba phòng ngủ. 
Tầng 1: Kinh doanh và bếp. 
Tầng 2,3,4: Mỗi tầng 1 phòng ngủ. 
Tầng 5: Phòng thờ và sân phơi. 
Sổ đỏ đẹp, pháp lý chuẩn. 
LH: 0389981756"
2023-06-01 22:29:44,Bán nhà Trung Kính- Cầu Giấy -HN,Nhà riêng,5.5,40,Cầu Giấy,Hà Nội,4,5,Tây-Bắc,,"Trung Kính Cầu Giấy 
Nhà cần bán 0326450588
Diện tích 40m2 6 tầng, mặt tiền 3m8, giá 5ty5 
Sổ đỏ chính chủ 
Vài chục met ra phố Yên Hòa 
Xe gửi nhà văn hóa đối diện
Ngõ thông các ngã tiện ích ngập tràn
Chủ thiện chí bán, để lại toàn bộ nội thất cho khách"
2023-06-02 03:19:48,"Chính chủ bán nhà nguyên căn đường xe tải xã Đông Thạnh, Hóc Môn, TP.HCM; 1,45 tỷ; 0937930727",Nhà riêng,1.45,53,Hóc Môn,TP Hồ Chí Minh,2,2,Đông-Bắc,Đông-Bắc,"Địa chỉ: đường DT2-8, Ấp 6, Xã Đông Thạnh, Huyện Hóc Môn, TP.HCM
- Diện tích: 3,8x14m=53,2m2
- Pháp lý: sổ chung
+ Kết cấu nhà 1 trệt 1 lầu sạch sẽ, thoáng mát gồm: phòng khách, 2 phòng ngủ, 2 wc, bếp, sân. Điện nước chính, nước thủy cục.
+ Vị trí nhà đẹp, mặt tiền đường 6m phương tiện đi lại thoải mái. Khu cao ráo, không ngập nước.
+ Khu vực dân cư đông đúc, có nhiều công ty, ngân hàng đang hoạt động,gần chợ- trường học- bệnh viện, ….thuận tiện giao thông đi lại các nơi.

Giá bán: 1,45 tỷ ( chính chủ thương lượng với khách thiện chí)
LHCC: 0904746762 -C.Tiên, 0937930727-A.Dũng"
2023-06-02 04:07:52,"Bán nhà đất Mới, Quận Bình Tân hẻm xe hơi, DT 4 x 15m, 2 Tầng, 2 PN, chỉ 3,75 tỷ TL",Nhà mặt phố,3.75,60,Bình Tân,TP Hồ Chí Minh,2,2,,,"- Đường bê tông 4m, ô tô vô nhà. 

- Khu an ninh dân trí cao. 

- Nhà 1 trệt 1 lửng, 2 phòng ngủ, có 1 phòng ngủ tầng trệt. 

- Nhà còn mới vào ở luôn, hoặc xây mới tùy khách, khu vực xung quanh xây 4 - 5 tầng, kế bên là trường học, xung quanh tiện ích gì gì cũng có.

- Trước hẻm nhà là chợ bình trị đông, Hẻm thông ra hương lộ 2 và mã lò, gần đường lê văn quới, gần bệnh viện Bình Tân, gần ngã tư bốn xã, đi đâu cũng tiện.

- Sổ vuông vắn, pháp lý chuẩn, công chứng sang tên nhanh.
=======================================
Liên hệ Nguyễn Tiền xem nhà trực tiếp , thương lượng giá cả làm việc chính chủ."
2023-06-02 04:18:50,"bán nhà đường lê văn quới, phường bình hưng hòa a Bình Tân,hẻm ô tô, DT 4x15m,  5 tầng BTCT, chỉ nhỉnh 5 tỷ TL",Nhà mặt phố,5.45,60,Bình Tân,TP Hồ Chí Minh,4,4,,,"+ Hẻm 4m thông tứ tung.

+ Diện tích: 60m2, 4m x 15m.

+ Kết cấu: 1 trệt, 2 lầu, sân thượng, 4 phòng ngủ, 5 phòng vệ sinh.

+ Sổ Hồng Hoàn Công Đầy Đủ

+ Không bị quy hoạch. 

+ Xung quanh đồng bộ nhà cao tầng, an ninh.

+ 5 phút đến Hệ thống siêu thị Bình Tân, 5 phút đến chợ Lê Văn Quới, 7 phút đến chợ Bình Trị Đông. Gần ngã tư bốn xã đi đâu cũng tiện.

+ Mua ở hoặc mở văn phòng công ty, cho thuê,...

+ Xem thực tế mới thấy vẻ đẹp, vị trí và giá trị căn nhà!

+ Giá vẫn còn thương lượng
≠================
Lh Nguyễn Tiền 0978508087 xem nhà trực tiếp, không hợp tác môi giới."
